"Curva","sigma_p","modularity_k5","modularity_k10","modularity_k20","nestedness_k5","nestedness_k10","nestedness_k20","tribos_k5","tribos_k10","tribos_k20","comunidades_k5","comunidades_k10","comunidades_k20"
"Disruptive",0.5,0.44,0.277,0.196,0.526,1.143,2.691,1,1,1,14,9,9
"Disruptive",1,0.441,0.287,0.218,0.589,1.299,2.69,1,1,1,13,9,5
"Disruptive",2,0.441,0.278,0.2,0.619,1.158,2.669,2,1,1,14,9,6
"Gaussian",0.5,0.442,0.279,0.207,0.572,1.17,2.973,3,1,1,17,11,5
"Gaussian",1,0.473,0.321,0.254,0.618,1.571,3.219,3,1,1,13,8,5
"Gaussian",2,0.581,0.399,0.304,0.811,1.853,4.037,13,2,1,23,11,7
"Random",0.5,0.44,0.274,0.192,0.555,1.276,2.642,1,1,1,13,11,6
"Random",1,0.44,0.274,0.192,0.539,1.25,2.75,2,1,1,15,10,5
"Random",2,0.44,0.274,0.192,0.574,1.258,2.395,1,1,1,13,10,6
"Sigmoid",0.5,0.44,0.275,0.192,0.55,1.286,2.598,3,1,1,16,12,5
"Sigmoid",1,0.44,0.275,0.193,0.535,1.241,2.462,3,1,1,15,10,5
"Sigmoid",2,0.447,0.28,0.197,0.595,1.403,2.958,2,1,1,14,10,6
