"tipo_selecao","sigma_p","encounters_n","k_fixo","selecao_natural","replica","geracao_alvo","modularity","modularity_media_estavel","tribos","comunidades","nestedness","Is","centralization"
"uniform",0.5,10,5,FALSE,56,74,0.483,0.483,2,14,0.891,0.244,0.0166
"gaussian",0.5,10,5,FALSE,71,62,0.474,0.474,3,18,0.717,0.244,0.0163
"sigmoid",0.5,10,5,FALSE,17,66,0.442,0.442,3,15,0.546,0.174,0.0151
"u-shaped",0.5,10,5,FALSE,57,43,0.458,0.458,3,15,0.687,0.209,0.0157
"uniform",1,10,5,FALSE,38,43,0.483,0.483,6,21,0.857,0.232,0.0167
"gaussian",1,10,5,FALSE,44,62,0.578,0.578,10,24,0.838,0.34,0.0167
"sigmoid",1,10,5,FALSE,69,97,0.453,0.453,1,14,0.555,0.183,0.0152
"u-shaped",1,10,5,FALSE,66,50,0.513,0.513,7,20,0.859,0.255,0.0127
"uniform",2,10,5,FALSE,71,29,0.483,0.483,2,13,0.873,0.213,0.0165
"gaussian",2,10,5,FALSE,4,40,0.737,0.737,28,42,0.679,0.437,0.0116
"sigmoid",2,10,5,FALSE,66,27,0.494,0.494,7,19,0.753,0.285,0.0174
"u-shaped",2,10,5,FALSE,56,77,0.479,0.479,4,15,0.686,0.209,0.0141
"uniform",0.5,10,10,FALSE,37,97,0.443,0.443,2,14,1.158,0.188,0.0176
"gaussian",0.5,10,10,FALSE,9,89,0.364,0.364,2,12,1.697,0.141,0.016
"sigmoid",0.5,10,10,FALSE,23,41,0.3,0.3,1,11,2.018,0.115,0.0238
"u-shaped",0.5,10,10,FALSE,57,36,0.321,0.321,1,11,2.155,0.162,0.0236
"uniform",1,10,10,FALSE,30,77,0.443,0.443,1,13,1.327,0.21,0.0226
"gaussian",1,10,10,FALSE,5,43,0.472,0.473,5,17,1.466,0.19,0.0163
"sigmoid",1,10,10,FALSE,37,94,0.309,0.309,1,11,1.897,0.107,0.0214
"u-shaped",1,10,10,FALSE,55,65,0.386,0.386,1,12,1.837,0.138,0.0156
"uniform",2,10,10,FALSE,69,99,0.443,0.443,1,14,1.132,0.183,0.0153
"gaussian",2,10,10,FALSE,58,26,0.634,0.634,20,33,1.304,0.381,0.0178
"sigmoid",2,10,10,FALSE,59,57,0.339,0.339,2,13,1.996,0.139,0.0201
"u-shaped",2,10,10,FALSE,2,75,0.329,0.329,1,10,1.934,0.141,0.019
"uniform",0.5,10,20,FALSE,9,44,0.443,0.443,1,12,1.307,0.221,0.0276
"gaussian",0.5,10,20,FALSE,39,63,0.364,0.364,1,10,1.758,0.14,0.0141
"sigmoid",0.5,10,20,FALSE,3,51,0.301,0.301,1,12,1.897,0.125,0.0189
"u-shaped",0.5,10,20,FALSE,22,42,0.313,0.313,1,10,2.138,0.152,0.0202
"uniform",1,10,20,FALSE,9,90,0.443,0.443,2,13,1.188,0.204,0.0201
"gaussian",1,10,20,FALSE,15,76,0.473,0.473,3,18,1.456,0.19,0.0164
"sigmoid",1,10,20,FALSE,1,63,0.31,0.31,1,11,1.851,0.118,0.0215
"u-shaped",1,10,20,FALSE,54,51,0.383,0.383,1,12,1.855,0.153,0.0222
"uniform",2,10,20,FALSE,65,38,0.443,0.443,3,15,1.256,0.225,0.0202
"gaussian",2,10,20,FALSE,15,89,0.635,0.635,16,33,1.105,0.346,0.0179
"sigmoid",2,10,20,FALSE,1,59,0.339,0.339,1,10,2.08,0.144,0.022
"u-shaped",2,10,20,FALSE,11,90,0.329,0.329,1,11,1.838,0.131,0.0237
