"tipo_selecao","sigma_p","encounters_n","k_fixo","selecao_natural","replica","geracao_alvo","modularity","modularity_media_estavel","tribos","comunidades","nestedness","Is","centralization"
"uniform",0.5,40,5,FALSE,45,85,0.44,0.44,1,13,0.541,0.189,0.0201
"gaussian",0.5,40,5,FALSE,4,61,0.445,0.445,2,13,0.624,0.188,0.0177
"sigmoid",0.5,40,5,FALSE,5,88,0.44,0.44,2,14,0.502,0.176,0.0201
"u-shaped",0.5,40,5,FALSE,12,50,0.441,0.441,3,15,0.537,0.199,0.0201
"uniform",1,40,5,FALSE,52,46,0.44,0.44,3,14,0.569,0.187,0.0125
"gaussian",1,40,5,FALSE,32,23,0.5,0.5,6,17,0.706,0.224,0.0145
"sigmoid",1,40,5,FALSE,49,51,0.441,0.441,5,17,0.594,0.198,0.0201
"u-shaped",1,40,5,FALSE,65,24,0.446,0.446,3,14,0.657,0.28,0.0228
"uniform",2,40,5,FALSE,57,33,0.44,0.44,1,14,0.53,0.162,0.0201
"gaussian",2,40,5,FALSE,25,78,0.637,0.637,19,32,0.828,0.337,0.0128
"sigmoid",2,40,5,FALSE,45,44,0.459,0.459,3,14,0.71,0.193,0.0135
"u-shaped",2,40,5,FALSE,60,70,0.443,0.443,2,15,0.595,0.223,0.0177
"uniform",0.5,40,10,FALSE,63,66,0.274,0.274,1,10,1.254,0.092,0.0175
"gaussian",0.5,40,10,FALSE,68,58,0.282,0.282,1,10,1.466,0.108,0.021
"sigmoid",0.5,40,10,FALSE,31,38,0.275,0.275,1,11,1.299,0.099,0.0301
"u-shaped",0.5,40,10,FALSE,61,56,0.279,0.279,1,11,1.249,0.111,0.0226
"uniform",1,40,10,FALSE,48,39,0.274,0.274,1,10,1.177,0.071,0.0175
"gaussian",1,40,10,FALSE,64,76,0.33,0.33,1,11,1.831,0.162,0.0259
"sigmoid",1,40,10,FALSE,25,26,0.276,0.276,1,8,1.29,0.114,0.023
"u-shaped",1,40,10,FALSE,19,22,0.292,0.292,1,9,1.643,0.123,0.0273
"uniform",2,40,10,FALSE,45,45,0.274,0.274,1,13,1.39,0.095,0.0175
"gaussian",2,40,10,FALSE,5,32,0.445,0.445,6,18,1.792,0.219,0.0207
"sigmoid",2,40,10,FALSE,12,58,0.289,0.289,1,10,1.421,0.111,0.0206
"u-shaped",2,40,10,FALSE,38,62,0.283,0.283,1,10,1.322,0.1,0.0212
"uniform",0.5,40,20,FALSE,4,71,0.203,0.203,1,6,4.001,0.054,0.0218
"gaussian",0.5,40,20,FALSE,65,81,0.208,0.208,1,6,3.506,0.058,0.0342
"sigmoid",0.5,40,20,FALSE,42,21,0.193,0.193,1,6,2.541,0.052,0.0383
"u-shaped",0.5,40,20,FALSE,26,38,0.2,0.2,1,6,2.815,0.052,0.0238
"uniform",1,40,20,FALSE,35,85,0.203,0.203,1,5,4.137,0.053,0.0446
"gaussian",1,40,20,FALSE,70,41,0.248,0.248,1,8,3.578,0.072,0.0289
"sigmoid",1,40,20,FALSE,70,93,0.196,0.196,1,6,2.656,0.048,0.0359
"u-shaped",1,40,20,FALSE,1,68,0.222,0.222,1,7,3.41,0.06,0.0344
"uniform",2,40,20,FALSE,53,54,0.203,0.203,1,6,4.366,0.05,0.0318
"gaussian",2,40,20,FALSE,40,89,0.322,0.322,1,10,3.35,0.107,0.0307
"sigmoid",2,40,20,FALSE,58,37,0.207,0.207,1,7,3.711,0.074,0.0343
"u-shaped",2,40,20,FALSE,35,20,0.207,0.207,1,7,3.313,0.052,0.0279
