"Curva","Sigma_p","k","Modularidade","NODF","Tribos","Comunidades"
"Disruptive",0.5,5,0.458,0.687,3,15
"Disruptive",0.5,10,0.321,2.155,1,11
"Disruptive",0.5,20,0.313,2.138,1,10
"Disruptive",1,5,0.513,0.859,7,20
"Disruptive",1,10,0.386,1.837,1,12
"Disruptive",1,20,0.383,1.855,1,12
"Disruptive",2,5,0.479,0.686,4,15
"Disruptive",2,10,0.329,1.934,1,10
"Disruptive",2,20,0.329,1.838,1,11
"Gaussian",0.5,5,0.474,0.717,3,18
"Gaussian",0.5,10,0.364,1.697,2,12
"Gaussian",0.5,20,0.364,1.758,1,10
"Gaussian",1,5,0.578,0.838,10,24
"Gaussian",1,10,0.472,1.466,5,17
"Gaussian",1,20,0.473,1.456,3,18
"Gaussian",2,5,0.737,0.679,28,42
"Gaussian",2,10,0.634,1.304,20,33
"Gaussian",2,20,0.635,1.105,16,33
"Random",0.5,5,0.483,0.891,2,14
"Random",0.5,10,0.443,1.158,2,14
"Random",0.5,20,0.443,1.307,1,12
"Random",1,5,0.483,0.857,6,21
"Random",1,10,0.443,1.327,1,13
"Random",1,20,0.443,1.188,2,13
"Random",2,5,0.483,0.873,2,13
"Random",2,10,0.443,1.132,1,14
"Random",2,20,0.443,1.256,3,15
"Sigmoid",0.5,5,0.442,0.546,3,15
"Sigmoid",0.5,10,0.3,2.018,1,11
"Sigmoid",0.5,20,0.301,1.897,1,12
"Sigmoid",1,5,0.453,0.555,1,14
"Sigmoid",1,10,0.309,1.897,1,11
"Sigmoid",1,20,0.31,1.851,1,11
"Sigmoid",2,5,0.494,0.753,7,19
"Sigmoid",2,10,0.339,1.996,2,13
"Sigmoid",2,20,0.339,2.08,1,10
