"tipo_selecao","sigma_p","encounters_n","Metrica","Gen_inicial","Gen_final","Delta","Delta_pct"
"uniform",0.2,10,"Centralization",0.0156113631365426,0.0134230807342055,-0.00218828240233706,-14.0172410519027
"uniform",0.2,10,"I_s",0.299890253709897,0.334220066808908,0.0343298130990111,11.4474587534347
"uniform",0.2,10,"Modularity",0.624462063432399,0.650052741851667,0.0255906784192688,4.09803572031387
"uniform",0.2,10,"Nestedness",0.830515334549124,0.704109587333356,-0.126405747215768,-15.2201581304206
"uniform",0.2,10,"varz_males",0.740725966388384,0.0765427536437043,-0.66418321274468,-89.6665221530022
"uniform",0.2,10,"zbar_males",4.99624465408431,5.0097703854287,0.0135257313443855,0.270717954800883
"gaussian",0.2,10,"Centralization",0.023903585305031,0.0154916637447792,-0.00841192156025183,-35.1910454139336
"gaussian",0.2,10,"I_s",0.722351981736195,0.360526763141703,-0.361825218594492,-50.0898769218898
"gaussian",0.2,10,"Modularity",0.586463897507315,0.619865802902486,0.0334019053951711,5.69547512423891
"gaussian",0.2,10,"Nestedness",1.01594897291686,0.806536181180617,-0.209412791736246,-20.6125304832
"gaussian",0.2,10,"varz_males",0.710432429392472,0.0700136659756817,-0.64041876341679,-90.1449225740506
"gaussian",0.2,10,"zbar_males",4.99987405940786,5.00585890528244,0.00598484587458437,0.119699932507763
"sigmoid",0.2,10,"Centralization",0.0235005544299708,0.0163754727563717,-0.00712508167359905,-30.3187811795294
"sigmoid",0.2,10,"I_s",0.61186562837177,0.282473027617493,-0.329392600754277,-53.8341402884193
"sigmoid",0.2,10,"Modularity",0.598696704961853,0.59564674432024,-0.00304996064161267,-0.509433343516899
"sigmoid",0.2,10,"Nestedness",0.976724519976333,0.91292772834858,-0.0637967916277534,-6.53170779712782
"sigmoid",0.2,10,"varz_males",0.702535918032404,0.0759626044109624,-0.626573313621442,-89.1873707149791
"sigmoid",0.2,10,"zbar_males",4.99359744142719,5.80623426931288,0.812636827885698,16.2735750612177
"u-shaped",0.2,10,"Centralization",0.0249134065883609,0.0203926856758551,-0.00452072091250577,-18.1457356964494
"u-shaped",0.2,10,"I_s",0.691763333305867,0.261251601511763,-0.430511731794103,-62.2339622623147
"u-shaped",0.2,10,"Modularity",0.586245453362791,0.565295788946115,-0.0209496644166756,-3.57353123960368
"u-shaped",0.2,10,"Nestedness",1.06760341591142,1.0727131752971,0.00510975938567704,0.47861961750233
"u-shaped",0.2,10,"varz_males",0.727490901515389,0.0753023122154697,-0.652188589299919,-89.6490372513783
"u-shaped",0.2,10,"zbar_males",4.98883400215211,4.98811672224823,-0.000717279903884815,-0.014377706365363
"uniform",0.5,10,"Centralization",0.0160059613306848,0.0141472663567526,-0.00185869497393211,-11.6125169587211
"uniform",0.5,10,"I_s",0.305464651107952,0.346883990213459,0.0414193391055065,13.5594540825834
"uniform",0.5,10,"Modularity",0.624178574498046,0.650447452615548,0.026268878117502,4.20855171753163
"uniform",0.5,10,"Nestedness",0.834718222309616,0.719510891191041,-0.115207331118575,-13.8019427441997
"uniform",0.5,10,"varz_males",0.696044184845228,0.0768283256847127,-0.619215859160515,-88.9621481857799
"uniform",0.5,10,"zbar_males",5.01745746450189,5.01974882288107,0.00229135837917926,0.0456677190666875
"gaussian",0.5,10,"Centralization",0.0193849515555252,0.0134338483009517,-0.00595110325457348,-30.6996034399542
"gaussian",0.5,10,"I_s",0.525676069838996,0.349719099641216,-0.17595697019778,-33.4725090780092
"gaussian",0.5,10,"Modularity",0.615732674152855,0.653072041923085,0.0373393677702297,6.06421736861738
"gaussian",0.5,10,"Nestedness",0.87850457092081,0.7273385965433,-0.15116597437751,-17.2071926978211
"gaussian",0.5,10,"varz_males",0.729408424618301,0.0750099815746205,-0.654398443043681,-89.7163264032941
"gaussian",0.5,10,"zbar_males",5.00587440351639,5.00020751365266,-0.00566688986373354,-0.113204795145336
"sigmoid",0.5,10,"Centralization",0.0231883054975603,0.0177210313816718,-0.00546727411588858,-23.5777216082641
"sigmoid",0.5,10,"I_s",0.616365113891675,0.291173632874836,-0.325191481016839,-52.7595533374055
"sigmoid",0.5,10,"Modularity",0.617148518214261,0.594908164111002,-0.022240354103259,-3.60372802443278
"sigmoid",0.5,10,"Nestedness",0.950494762377854,0.935368621264691,-0.0151261411131635,-1.59139657701241
"sigmoid",0.5,10,"varz_males",0.719457511207345,0.0764262259212515,-0.643031285286094,-89.3772426125626
"sigmoid",0.5,10,"zbar_males",5.00760381482841,5.87206093433334,0.864457119504928,17.2628896268734
"u-shaped",0.5,10,"Centralization",0.0221101773971988,0.0222784778475149,0.000168300450316097,0.76118995923307
"u-shaped",0.5,10,"I_s",0.478630281654726,0.2638475850382,-0.214782696616527,-44.8744479505094
"u-shaped",0.5,10,"Modularity",0.609510282959317,0.569117130161768,-0.040393152797549,-6.62714870066353
"u-shaped",0.5,10,"Nestedness",0.956134731226557,1.12815140600806,0.1720166747815,17.9908405336173
"u-shaped",0.5,10,"varz_males",0.723961684234287,0.073112649955199,-0.650849034279088,-89.9010332249105
"u-shaped",0.5,10,"zbar_males",5.01690033158271,4.92364036536794,-0.093259966214772,-1.8589160647198
"uniform",0.8,10,"Centralization",0.0163676073682583,0.01312646347824,-0.00324114389001826,-19.8021849931702
"uniform",0.8,10,"I_s",0.294914085913397,0.337334013690684,0.0424199277772868,14.3838255964972
"uniform",0.8,10,"Modularity",0.622597297323575,0.65352265446868,0.0309253571451051,4.96715248814077
"uniform",0.8,10,"Nestedness",0.833204631443904,0.699892684329764,-0.13331194711414,-15.9999047152579
"uniform",0.8,10,"varz_males",0.725559404136881,0.0747505878113952,-0.650808816325485,-89.6975234026058
"uniform",0.8,10,"zbar_males",5.00403043624632,4.98726805946761,-0.0167623767787104,-0.334977514471002
"gaussian",0.8,10,"Centralization",0.016952652126692,0.0135883224555149,-0.00336432967117711,-19.8454474617571
"gaussian",0.8,10,"I_s",0.428685237439615,0.402262640090535,-0.02642259734908,-6.16363593644903
"gaussian",0.8,10,"Modularity",0.674743323834415,0.713042535008345,0.0382992111739301,5.67611561627379
"gaussian",0.8,10,"Nestedness",0.753797384457115,0.616111977091698,-0.137685407365417,-18.2655724475056
"gaussian",0.8,10,"varz_males",0.704394228933986,0.0770108102737454,-0.62738341866024,-89.0670867093429
"gaussian",0.8,10,"zbar_males",5.00264377803153,4.99233151685656,-0.0103122611749686,-0.206136227813254
"sigmoid",0.8,10,"Centralization",0.0225076767331505,0.0182257760279437,-0.00428190070520676,-19.0241789766784
"sigmoid",0.8,10,"I_s",0.602099594963094,0.295988085919849,-0.306111509043245,-50.8406767923516
"sigmoid",0.8,10,"Modularity",0.638825660004541,0.597491317463751,-0.0413343425407894,-6.47036353243788
"sigmoid",0.8,10,"Nestedness",0.928786002498372,0.919256035366225,-0.00952996713214727,-1.02606704951542
"sigmoid",0.8,10,"varz_males",0.702104313249749,0.0728796089921366,-0.629224704257613,-89.6198317519505
"sigmoid",0.8,10,"zbar_males",4.98151598471842,5.9300087872183,0.948492802499876,19.0402440825148
"u-shaped",0.8,10,"Centralization",0.0190180305584273,0.0158198214584627,-0.00319820909996454,-16.8167207962938
"u-shaped",0.8,10,"I_s",0.351958928136503,0.378135000790378,0.026176072653875,7.43725206587822
"u-shaped",0.8,10,"Modularity",0.609807171168602,0.669992864476734,0.0601856933081318,9.86962701550314
"u-shaped",0.8,10,"Nestedness",0.920211095960988,0.779080867535522,-0.141130228425465,-15.3367231763361
"u-shaped",0.8,10,"varz_males",0.732009129861524,0.0808097607327918,-0.651199369128732,-88.9605528898145
"u-shaped",0.8,10,"zbar_males",4.96363327336446,4.90870355118403,-0.054929722180435,-1.10664344352746
"uniform",1,10,"Centralization",0.0158849424985809,0.0134532685604752,-0.00243167393810575,-15.3080436918357
"uniform",1,10,"I_s",0.296329554446987,0.354962003813979,0.0586324493669925,19.786230730989
"uniform",1,10,"Modularity",0.628925376778253,0.648531949395633,0.0196065726173799,3.11747201517244
"uniform",1,10,"Nestedness",0.823323849038488,0.728857166168635,-0.0944666828698528,-11.4738183498723
"uniform",1,10,"varz_males",0.736702544603381,0.073594658286446,-0.663107886316935,-90.0102614242948
"uniform",1,10,"zbar_males",4.98545603996465,4.99710771678041,0.0116516768157648,0.233713359868428
"gaussian",1,10,"Centralization",0.0154470960755578,0.0138593034734338,-0.00158779260212402,-10.2789067560499
"gaussian",1,10,"I_s",0.391683072293014,0.427849391310301,0.0361663190172862,9.2335670279441
"gaussian",1,10,"Modularity",0.699238576434991,0.747323278178038,0.048084701743047,6.87672324776514
"gaussian",1,10,"Nestedness",0.702379228578498,0.592765641389425,-0.109613587189073,-15.6060405446375
"gaussian",1,10,"varz_males",0.704342555587919,0.0789176582951926,-0.625424897292726,-88.7955572655525
"gaussian",1,10,"zbar_males",5.0074501966726,4.9837349344724,-0.0237152622001977,-0.473599562027721
"sigmoid",1,10,"Centralization",0.0215889641734866,0.0184433111369092,-0.00314565303657744,-14.5706529099743
"sigmoid",1,10,"I_s",0.570936427912911,0.296723429814993,-0.274212998097918,-48.0286393881573
"sigmoid",1,10,"Modularity",0.650295223091189,0.615183154757784,-0.0351120683334044,-5.39940431462785
"sigmoid",1,10,"Nestedness",0.91683318702076,0.906600891584738,-0.0102322954360217,-1.11604767158041
"sigmoid",1,10,"varz_males",0.726334406221867,0.0761966202638,-0.650137785958067,-89.5094298698932
"sigmoid",1,10,"zbar_males",4.99440566956084,5.95070627978802,0.956300610227175,19.1474356209287
"u-shaped",1,10,"Centralization",0.0188300497699532,0.013687433106746,-0.00514261666320722,-27.3106907630866
"u-shaped",1,10,"I_s",0.331116851958854,0.382857438941728,0.0517405869828745,15.6260808463183
"u-shaped",1,10,"Modularity",0.601910379152875,0.69767987044822,0.0957694912953448,15.9109220595482
"u-shaped",1,10,"Nestedness",0.920457539879514,0.661350236446802,-0.259107303432712,-28.149837684705
"u-shaped",1,10,"varz_males",0.701341533158134,0.0825692889138491,-0.618772244244285,-88.2269500649647
"u-shaped",1,10,"zbar_males",4.98807292890638,5.03248269029857,0.0444097613921937,0.890319007463478
"uniform",1.2,10,"Centralization",0.0157638257693947,0.0140032135310686,-0.00176061223832608,-11.1686862318936
"uniform",1.2,10,"I_s",0.298381753228459,0.350966992843699,0.0525852396152395,17.6234769875412
"uniform",1.2,10,"Modularity",0.619263807311747,0.653709141240329,0.0344453339285815,5.56230374226298
"uniform",1.2,10,"Nestedness",0.836305894406206,0.709588468276999,-0.126717426129207,-15.1520426887794
"uniform",1.2,10,"varz_males",0.716800449380256,0.0741420319707499,-0.642658417409506,-89.6565310422373
"uniform",1.2,10,"zbar_males",5.00305522782014,5.00233728476965,-0.000717943050490888,-0.0143500924494831
"gaussian",1.2,10,"Centralization",0.0156820434784212,0.0123197898631467,-0.00336225361527447,-21.4401498114771
"gaussian",1.2,10,"I_s",0.40706880665805,0.464533233317292,0.0574644266592411,14.1166372169393
"gaussian",1.2,10,"Modularity",0.735360373293232,0.780577364636723,0.0452169913434908,6.14895675449458
"gaussian",1.2,10,"Nestedness",0.654213199771583,0.551074931472227,-0.103138268299357,-15.7652380501291
"gaussian",1.2,10,"varz_males",0.729764484842703,0.0808971925679744,-0.648867292274729,-88.9146163936148
"gaussian",1.2,10,"zbar_males",5.00778176196581,5.01642178459714,0.00864002263132413,0.172531932140998
"sigmoid",1.2,10,"Centralization",0.0208053777356964,0.0165749666636097,-0.0042304110720867,-20.3332577078303
"sigmoid",1.2,10,"I_s",0.545218266977016,0.297855011035904,-0.247363255941113,-45.3695833253401
"sigmoid",1.2,10,"Modularity",0.668228893998337,0.621574172024883,-0.046654721973454,-6.98184744665802
"sigmoid",1.2,10,"Nestedness",0.864245339495637,0.9058600701161,0.0416147306204631,4.81515244788579
"sigmoid",1.2,10,"varz_males",0.707134280630722,0.0768590846603373,-0.630275195970385,-89.1309067081596
"sigmoid",1.2,10,"zbar_males",4.99032817761459,5.93340812046856,0.943079942853969,18.8981547763612
"u-shaped",1.2,10,"Centralization",0.0167883343994029,0.0147933618426286,-0.00199497255677429,-11.8830880378774
"u-shaped",1.2,10,"I_s",0.305411635571076,0.391178776159724,0.0857671405886476,28.0824731606166
